Project_Name,Country,Project_Type,Announcement_Year,FID_Year,Operation_Year,Project_Status,Estimated_GHG_Reduction
North Sea CO2 corridor,Belgium-Germany,Transport,2023.0,,2030.0,Planned,
Northern Endurance Partnership phase 1,United Kingdom,T&S,2018.0,2024.0,2027.0,Planned,
Northern Endurance Partnership phase 2,United Kingdom,T&S,2019.0,,,Planned,
Northern Endurance Partnership phase 3,United Kingdom,T&S,2020.0,,,Planned,
Northern Gulf of Thailand CCS Exploration project,Thailand,Storage,2024.0,,,Planned,
Northern Lights Phase 1,Norway,T&S,2017.0,2020.0,2024.0,Under construction,
Northern Lights Phase 2,Norway,T&S,2017.0,,2026.0,Planned,
Northern Plains Nitrogen Blue ammonia (ND),United States,Capture,2013.0,2024.0,,Planned,2.5
Northern to Western Kyushu Offshore CCS - Eneos refinery,Japan,Full chain,2022.0,2026.0,2030.0,Planned,3.0
Northern to Western Kyushu Offshore CCS - J-Power power plant,Japan,Full chain,2022.0,2026.0,2030.0,Planned,3.0
Northern to Western Kyushu Offshore CCS (capture sources under evaluation),Japan,T&S,2023.0,,2030.0,Planned,
Norvik Infrastructure CCS East (NICE),Sweden,Transport,2023.0,,,Planned,
Novatek Obskiy Gas Chemical Complex Blue ammonia,Russia,Full chain,2021.0,,2027.0,Planned,3.0
Nucor Covent plant (LA),United States,Capture,2023.0,,2026.0,Planned,2.5
Nutrien Redwater Fertilizer (ALB) phase 1,Canada,Capture,2011.0,2018.0,2020.0,Operational,2.5
Nutrien Redwater Fertilizer (ALB) phase 2,Canada,Capture,2022.0,,,Planned,2.5
NWR Sturgeon Refinery (ALB),Canada,Capture,2011.0,2014.0,2020.0,Operational,2.5
OCAP,Netherlands,Transport,,,2005.0,Operational,
Oceania CCS (capture sources under evaluation),Japan-unknown,T&S,2023.0,,,Planned,
OCI Fertilizer plant phase 1 (IA),United States,Capture,2021.0,2022.0,2025.0,Under construction,2.5
OCI Fertilizer plant phase 2 (IA),United States,Capture,2021.0,,,Planned,2.5
Offshore Malay CCS (capture sources under evaluation),Japan-Malaysia,T&S,2023.0,,2030.0,Planned,
Olso Celsio,Norway,Capture,2016.0,,2025.0,Planned,2.5
OLYMPUS Holcim Milaki,Greece,Capture,2023.0,,2028.0,Planned,2.5
Omifco ammonia capture,Oman,Capture,2023.0,,,Planned,2.5
One Earth Energy ethanol CCS (IL),United States,Capture,2020.0,2024.0,2025.0,Planned,2.5
Opal Carbon Hub (ALB),Canada,Storage,2022.0,,,Planned,
Open Access Wabamun Carbon Hub (ALB),Canada,Storage,2022.0,,,Planned,
Orchard (TX),United States,Storage,2022.0,,,Planned,
Origins project (ALB),Canada,T&S,2022.0,,,Planned,
Orion (AL),United States,Storage,2022.0,,2026.0,Planned,
Orion CCS Project Phase 1,United Kingdom,Storage,2023.0,2029.0,2031.0,Planned,
Orion CCS Project Phase 2,United Kingdom,Storage,2023.0,2029.0,,Planned,
Orlen Lietuva,Lithuania,Capture,2022.0,,2030.0,Planned,2.5
Osage CCS 1 (OK),United States,Storage,2022.0,,,Planned,
Oxy DAC potential expansion scenario global 2030,Unknown,Full chain,2022.0,,2030.0,Planned,3.0
Oxy DAC potential expansion scenario US 2030,United States,Full chain,2022.0,,2030.0,Planned,3.0
Oxy/ADNOC UAE DAC,United Arab Emirates,Capture,2023.0,,,Planned,2.5
Pannonia Bio refinery,Hungary,Full chain,2021.0,,2026.0,Planned,3.0
Papua LNG CCS,Papua New Guinea,Full chain,2018.0,2024.0,2027.0,Planned,3.0
Parc Adfer CCS ,United Kingdom,Capture,2023.0,,,Planned,2.5
Pathways alliance (ALB) (14 facilities),Canada,Capture,2022.0,,2030.0,Planned,2.5
Pathways Alliance (T&S) (ALB),Canada,T&S,2022.0,,2030.0,Planned,
PCS Nitrogen Geismar Ammonia plant (LA),United States,Capture,2022.0,2024.0,2027.0,Planned,2.5
PCS Nitrogen-Geismar plant (LA),United States,Full chain,2011.0,2011.0,2013.0,Operational,3.0
Peak cluster transport,United Kingdom,Transport,2023.0,,2030.0,Planned,
Pecos County Ultra Clean Fuels Refining (TX),United States,Capture,2021.0,,,Planned,2.5
Pegasus (LA),United States,Storage,2022.0,,2027.0,Planned,
Pelican Rindge Tract CCS Project (CA),United States,Full Chain,2023.0,,,Planned,
Pelican sequestration hub (Livingston Parish) (LA),United States,Storage,2022.0,,2025.0,Planned,
Pembina low carbon complex,Canada,Capture,2023.0,,2027.0,Planned,2.5
Pembroke Net Zero Centre (PNZC),United Kingdom,Capture,2022.0,2024.0,2040.0,Planned,2.5
Permian Regional Carbon Sequestration Hub (TX),United States,T&S,2023.0,,,Planned,
Peterhead Carbon Capture Power Station,United Kingdom,Capture,2021.0,2024.0,2030.0,Planned,2.5
Petra Nova Carbon Capture (TX),United States,Full chain,2009.0,2014.0,2023.0,Operational,3.0
Petrobras Santos Basin pre-salt oilfield CCS,Brazil,Full chain,2011.0,,2013.0,Operational,3.0
Petronas Kasawari gas field CCS project (Kasawari Phase 2 project),Malaysia,Full chain,2020.0,2022.0,2025.0,Under construction,3.0
Phillips 66 Humber refinery,United Kingdom,Capture,2021.0,,2028.0,Planned,2.5
Phoenix project (TX),United States,Storage,2023.0,,,Planned,
Pieridae Caroline Carbon Capture Power Complex Phase 1 (ALB),Canada,Full chain,2021.0,,,Planned,3.0
Pieridae Caroline Carbon Capture Power Complex Phase 2 (ALB),Canada,Full chain,2021.0,,,Planned,3.0
Pincher Creek Carbon Sequestration Hub (ALB),Canada,Storage,2022.0,,,Planned,
Pine Lake Corn Processors Steamboat Rock biorefinery (IA),United States,Capture,2021.0,2024.0,2024.0,Planned,2.5
Pineywoods CCS hub (TX),United States,Storage,2023.0,,,Planned,
Plant Daniel Carbon Capture (MS) ,United States,Capture,2019.0,,2025.0,Planned,2.5
Plock plant,Poland,Capture,2023.0,,2027.0,Planned,2.5
Plymouth Energy Merrill biorefinery (IA),United States,Capture,2021.0,2024.0,2024.0,Planned,2.5
"POET 17 bioprocessing plants (IA, NE, SD)",United States,Capture,2021.0,,2025.0,Planned,2.5
Polaris offshore storage facility,Norway,Storage,2021.0,2024.0,2028.0,Planned,
Polk county hub (TX),United States,Storage,2022.0,,,Planned,
Polk Power station NGCC/Polk carbon storage complex (FL),United States,Full chain,2022.0,,,Planned,3.0
Port of Aalborg terminal and pipeline to Fyrkat (Norne carbon storage hub),Denmark,Transport,2022.0,,2026.0,Planned,
Port of Corpus Christi-Mississippi pipeline (TX),United States,Transport,2023.0,,,Planned,
Port of Kalundborg terminal and pipeline to Trelleborg phase 1 (Norne carbon storage hub),Denmark,Transport,2022.0,,2026.0,Planned,
Port of Kalundborg terminal and pipeline to Trelleborg phase 2 (Norne carbon storage hub),Denmark,Transport,2022.0,,2030.0,Planned,
Porthos offshore transport and storage,Netherlands,T&S,2018.0,2023.0,2026.0,Under construction,
Porthos onshore transport,Netherlands,Transport,2018.0,2023.0,2026.0,Under construction,
Poseidon CO2 storage,Norway,Storage,2023.0,2025.0,,Planned,
Prairie State Generating Station Carbon Capture (IL),United States,Capture,2019.0,,2025.0,Planned,2.5
Prax Lindsey Oil Refinery Phase 1,United Kingdom,Capture,2021.0,,2027.0,Planned,2.5
Prax Lindsey Oil Refinery Phase 2,United Kingdom,Capture,2021.0,,2029.0,Planned,2.5
Preem CCS at Lysekil refinery,Sweden,Capture,2018.0,,2025.0,Planned,2.5
Prinos CCS phase 1,Greece,T&S,2021.0,,2025.0,Planned,
Prinos CCS phase 2,Greece,T&S,2021.0,,2027.0,Planned,
Prinos sigma plant,Greece,Capture,2022.0,,2025.0,Planned,2.5
Project Air Perstorp Oxo capture,Sweden,CCU,2020.0,,2027.0,Planned,1.8
Project Bifrost Phase 1,Denmark,T&S,2021.0,,2030.0,Planned,
Project Bison (WY) Phase 1,United States,Capture,2022.0,,2024.0,Planned,2.5
Project Bison (WY) Phase 2,United States,Capture,2022.0,,2026.0,Planned,2.5
Project Bison (WY) Phase 3,United States,Capture,2022.0,,2028.0,Planned,2.5
Project Bison (WY) Phase 4,United States,Capture,2022.0,,2028.0,Planned,2.5
Project Blue (AR),United States,Full chain,2022.0,,2025.0,Planned,3.0
Project Cavendish Phase 1,United Kingdom,Capture,2021.0,2024.0,2026.0,Planned,2.5
Project Cavendish Phase 2,United Kingdom,Capture,2021.0,2024.0,2026.0,Planned,2.5
Project Clear Horizon - natural gas fired power plants (ALB),Canada,Capture,2022.0,,,Planned,2.5
Project Clear Horizon (ALB),Canada,T&S,2022.0,,,Planned,
"Project Crossroads (IN, IL, MI)",United States,T&S,2023.0,,,Planned,
Project Greensand phase 1,Denmark,T&S,2020.0,2024.0,2026.0,Planned,
Project Greensand phase 2,Denmark,T&S,2020.0,,2030.0,Planned,
Project Hajar,Oman,Full chain,2022.0,,2024.0,Under construction,3.0
Project Hummingbird,Kenya,Full chain,,,2025.0,Planned,3.0
Project Interseqt - Hereford Ethanol Plant (TX),United States,Full chain,2018.0,,2024.0,Planned,3.0
Project Interseqt - Plainview Ethanol Plant (TX),United States,Full chain,2018.0,,2024.0,Planned,3.0
Project Lochridge (Gulf of Mexico CCS Partnership Hub) (LA),United States,T&S,2022.0,,2030.0,Planned,
Project OASIS Shelby County (AL),United States,Storage,2022.0,,,Planned,
Project Phoenix ammonia (WY),United States,Full chain,2022.0,,,Planned,3.0
Project Pouakai Hydrogen Production with CCS,New Zealand,Full chain,2018.0,,2024.0,Planned,3.0
Project Ruby (Rodby) phase 1,Denmark,Storage,2022.0,2026.0,2030.0,Planned,
Project Ruby (Rodby) phase 2,Denmark,Storage,2022.0,,,Planned,
Project Tellus - CS020 (Area 1),United Kingdom,Storage,2023.0,2028.0,2030.0,Planned,
Project Tellus - CS021 (Area 5),United Kingdom,Storage,2023.0,2029.0,2033.0,Planned,
Project Tellus - CS022 (Area 7),United Kingdom,Storage,2023.0,2029.0,2033.0,Planned,
Project Tundra at Milton R Young Station (ND),United States,Capture,2018.0,2024.0,2028.0,Planned,2.5
Project WyoTCH pipeline (WY),United States,Transport,2023.0,,,Planned,
Protos CO2 network phase 1,United Kingdom,Transport,2022.0,,,Planned,
Protos CO2 network phase 2,United Kingdom,Transport,2022.0,,,Planned,
PYCASSO hub phase 1 - eastern and western pipeline,France,T&S,2021.0,2025.0,2030.0,Planned,
PYCASSO hub phase 2 - northern and cross-border pipeline,France,T&S,2021.0,2025.0,2035.0,Planned,
Qatar LNG,Qatar,Full chain,,,2019.0,Operational,3.0
Qatar North Field East Project CCS,Qatar,Full chain,2018.0,2021.0,2025.0,Under construction,3.0
Quad County Corn Processors Galva biorefinery (IA),United States,Capture,2021.0,2024.0,2024.0,Planned,2.5
Quest (ALB),Canada,Full chain,2009.0,2012.0,2015.0,Operational,3.0
Ram River Carbon Sequestration Hub (ALB),Canada,Storage,2022.0,,,Planned,
Ramba CCUS/EOR,Indonesia,Full chain,2022.0,,2032.0,Planned,3.0
Ravenna CCS phase 2,Italy,T&S,2020.0,2025.0,2027.0,Planned,
Red Hills CO2 storage hub (MS),United States,Storage,2023.0,,,Planned,
Red Trail Energy BECCS Project (ND),United States,Full chain,2016.0,2021.0,2022.0,Operational,3.0
Redcar Energy Centre EfW,United Kingdom,Capture,2021.0,2024.0,2025.0,Planned,2.5
Redfield Energy biorefinery (ND),United States,Capture,2021.0,2024.0,2024.0,Planned,2.5
Removr Carbfix plant phase 1,Iceland,Full chain,2022.0,,2025.0,Planned,3.0
Removr Carbfix plant phase 2,Iceland,Full chain,2023.0,,2027.0,Planned,3.0
Returkraft Kristiansand,Norway,Capture,2023.0,,2030.0,Planned,2.5
Ringneck Energy & Feed Onida biorefinery (SD),United States,Capture,2021.0,2024.0,2024.0,Planned,2.5
River Parish Sequestration (LA),United States,T&S,2023.0,,,Planned,
Rockpoint and Inter Pipeline Carbon Sequestration Hub,Canada,T&S,2022.0,,,Planned,
Rocky Mountain Carbon Vault (ALB),Canada,Storage,2022.0,,2027.0,Planned,
Rohm chemical plant (x2),Germany,CCU,2023.0,,,Planned,1.8
Rolling Hills Carbon Sequestration Hub (ALB),Canada,Storage,2022.0,,2026.0,Planned,
Roughrider Carbon Storage Hub (ND),United States,Storage,2023.0,,,Planned,
Rumah1 and Rumah 2 plants,Saudi Arabia,Capture,2024.0,,,Planned,2.5
Russel CO2 storage complex (KS),United States,Full Chain,2020.0,,,Planned,
RWE Amer power plant,Netherlands,Capture,2022.0,,2032.0,Planned,2.5
RWE CCGT Stallingborough,United Kingdom,Capture,2023.0,,,Planned,2.5
RWE CCGT Stallingborough,United Kingdom,Capture,2024.0,,,Planned,2.5
RWE CCGT Staythorpe (+ another new build?),United Kingdom,Capture,2022.0,,,Planned,2.5
RWE Eemshaven power plant,Netherlands,Capture,2022.0,,2030.0,Planned,2.5
Sailboat Green Methanol plant Shengong petrochemical (Jiangsu),People's Republic of China,CCU,2021.0,,,Planned,1.8
Saint-Gobain glass,United Kingdom,Capture,2021.0,,,Planned,2.5
Saint-Pierre-la-Cour cement plant,France,Capture,2023.0,2027.0,2030.0,Planned,2.5
San Joaquin Renewables BCCS (CA),United States,Storage,2021.0,2025.0,,Planned,
San Juan Basin CarbonSAFE (NM),United States,Storage,2019.0,,2025.0,Planned,
Santos Bonaparte Basin storage,Australia,Storage,2022.0,,,Planned,
Santos Carnavon Basin storage (Reindeer CCS),Australia,Storage,2022.0,2025.0,2028.0,Planned,
Seal Sands TGEPL,United Kingdom,Capture,2021.0,,,Planned,2.5
SEDAC hub (AL) phase 1,United States,Capture,2023.0,,,Planned,2.5
SEDAC hub (AL) phase 2,United States,Capture,2023.0,,,Planned,2.5
Setouchi / Shikoku CO2 Hub Concept (capture sources under evaluation),Japan-Australia,Transport,2023.0,,,Planned,
Shah gas plant (Abu Dhabi CCS Phase 2),United Arab Emirates,Full chain,2020.0,,2030.0,Planned,3.0
Shand,Canada,Capture,2018.0,,,Planned,2.5
Sharjah Hub ,United Arab Emirates,T&S,2023.0,,,Planned,
Shell Deer Park Chemical complex (TX),United States,Capture,2021.0,,,Planned,2.5
Shell Netherlands Refineries biodiesel,Netherlands,Capture,2021.0,2021.0,2026.0,Under construction,2.5
Shell Netherlands Refineries heavy residue gasification CCS,Netherlands,Capture,2021.0,,2026.0,Under construction,2.5
Shell Netherlands Refineries heavy residue gasification CCU,Netherlands,CCU,,,1997.0,Operational,1.8
Shell Uniper Humber Hub Blue North Killingholme,United Kingdom,Capture,2022.0,2024.0,2027.0,Planned,2.5
Shepard Energy Centre (SEC) (ALB),Canada,Capture,2022.0,,,Planned,2.5
Sinopec Nanjing Chemical Industries CCUS Cooperation Project (Jiangsu),People's Republic of China,Full chain,2015.0,,2021.0,Operational,3.0
Sinopec Qilu Petrochemical Shengli (Shandong),People's Republic of China,Full chain,2012.0,2021.0,2022.0,Operational,3.0
Sinopec Shengli Power Plant CCS (Shandong),People's Republic of China,Full chain,2011.0,,2030.0,Planned,3.0
Siouxland Energy Cooperative Sioux Center biorefinery (IA),United States,Capture,2021.0,2024.0,2024.0,Planned,2.5
Sizewell C nuclear-powered DAC Full-scale,United Kingdom,Capture,2022.0,,2030.0,Planned,2.5
SK E&S Honeywell gas power plant,South Korea,Capture,2023.0,,,Planned,2.5
Sleipner,Norway,Full chain,1991.0,,1996.0,Operational,3.0
Snohvit CO2 capture and storage,Norway,Full chain,2002.0,2002.0,2008.0,Operational,3.0
Soderenergi Igelsta plant,Sweden,Capture,2020.0,2026.0,2030.0,Planned,2.5
South East Australia carbon capture and storage (SEA CCS) hub,Australia,T&S,2022.0,,2025.0,Planned,
South Texas DAC Hub (TX),United States,Full chain,2022.0,,,Planned,3.0
South West Blue Hydrogen,Australia,Capture,2021.0,,,Planned,2.5
South West Hub Project,Australia,Storage,2010.0,,,Planned,
Southeast Saskatchewan CCUS Hub (Belle Plaine and Weyburn) (SK),Canada,T&S,2021.0,2024.0,2025.0,Planned,
Southeastern Illinois Basin CarbonSAFE (KT),United States,Storage,2023.0,,,Planned,
Stade facility Green Methanol,Germany,CCU,2019.0,,,Planned,1.8
Stakraft Varme Trondheim,Norway,Capture,2023.0,,2030.0,Planned,2.5
Stenlille project (CO2RYLUS),Denmark,Storage,2022.0,,2026.0,Planned,
Stockholm Exergi Värtan CHP CCS (BECCS@STHLM),Sweden,Capture,2021.0,2024.0,2026.0,Planned,2.5
STRATOS (Ector County) (TX),United States,Full chain,2019.0,2022.0,2025.0,Under construction,3.0
Structure A&E,Lybia,Full chain,2023.0,,2027.0,Planned,3.0
Stryde CO2 storage assessment Brazil,Brazil,Storage,2023.0,,,Planned,
Suek Blue Ammonia Borodinsky,Russia,Full chain,2021.0,,2027.0,Planned,3.0
Suez Tees Valley / Haverton Hill Waste to Energy CCS,United Kingdom,Capture,2020.0,2025.0,2027.0,Planned,2.5
Sukowati CO2-EOR (Jambaran Tiung Biru gas processing),Indonesia,Full chain,2020.0,2024.0,2025.0,Planned,3.0
Suncor Edmonton Refinery - Fluid Catalytic Cracker Capture (ALB),Canada,Capture,2022.0,,,Planned,2.5
Sunda Asri Basin CCUS hub,Indonesia,Storage,2022.0,,2030.0,Planned,
Sundsvall Korsta plant CCS,Sweden,Capture,2023.0,2024.0,2026.0,Planned,2.5
Susitna Power Plant (AK),United States,Capture,2023.0,,,Planned,2.5
Sustainable Fuels Group - CIP blue ammonia plant,United States,Capture,2023.0,,2027.0,Planned,2.5
Sutter Decarbonization Project (CA),United States,T&S,2023.0,2024.0,2028.0,Planned,
Svante capture Linde SMR plant (TX) ,United States,Capture,2021.0,,2026.0,Planned,2.5
Sweetwater Carbon Storage Hub (WY),United States,Storage,2023.0,,,Planned,
TA’ZIZ blue ammonia,United Arab Emirates,Full chain,2020.0,2024.0,2025.0,Planned,3.0
Taiwan Cement Hoping oxyfuel pilot,Taiwan,Capture,2024.0,,2026.0,Planned,2.5
Taiwan Cement Hoping/Heping plant,Taiwan,CCU,2019.0,,2030.0,Planned,1.8
Tambak Lorok Gas-Fired Power Plant,Indonesia,Full Chain,2023.0,,,Planned,
Tampa Regional Intermodal Carbon HUB (T-RICH) (FL),United States,Transport,2023.0,,,Planned,
Tangguh CCUS hub,Indonesia,Storage,2023.0,,,Planned,
Tangguh LNG EGR,Indonesia,Full chain,2021.0,2024.0,2027.0,Planned,3.0
Tarastenjärvi power (Tampere),Finland,CCU,2021.0,2024.0,2026.0,Planned,1.8
Tees Valley Energy Recovery Facility (TVERF),United Kingdom,Capture,2022.0,,2026.0,Planned,2.5
Terrell Natural Gas Processing Plant (former Val Verde) (TX),United States,Full chain,,,1972.0,Operational,3.0
Tharaldson Ethanol Casselton biorefinery (ND),United States,Capture,2021.0,2024.0,2024.0,Planned,2.5
The Bluestreak CO2 Joint Venture,United Kingdom,T&S,2023.0,,,Planned,
The ZEROS project Chambers & Liberty County (Jefferson) (TX),United States,Capture,2019.0,,2024.0,Planned,2.5
Thorning storage,Denmark,Storage,2022.0,,,Planned,
Timberland Sequestration project (AL),United States,Full chain,2023.0,,,Planned,3.0
Tohoku Region West Coast CCS,Japan,T&S,2023.0,,2030.0,Planned,
Tohoku Region West Coast CCS - Nippon Steel,Japan,Capture,2023.0,,2030.0,Planned,2.5
Tohoku Region West Coast CCS - Taiheiyo Cement ,Japan,Capture,2023.0,,2030.0,Planned,2.5
Tomakomai area CCS,Japan,T&S,2023.0,,2030.0,Planned,
Tomakomai area CCS - Hokkaido Electric Tomatouatsuma power station,Japan,Capture,2023.0,,2030.0,Planned,2.5
Tomakomai area CCS - Idemitsu Kosan Hokkaido Refinery,Japan,Capture,2023.0,,2030.0,Planned,2.5
Tourmaline Clearwater CCUS (ALB),Canada,Storage,2022.0,,,Planned,
Tracy DAC facility,United States,CCU,2021.0,,2023.0,Operational,1.8
Trailblazer CO2 pipeline,United States,Transport,2022.0,,,Planned,
"Tri-state project (WV, OH, PA)",United States,Storage,2023.0,,,Planned,
Trudvang storage project (EXL007),Norway,Storage,2023.0,2027.0,2029.0,Planned,
Tulare County Carbon Storage Project (CA),United States,Storage,2023.0,,,Planned,
Tumbler Ridge blue methanol project (BC),Canada,Capture,2015.0,,2028.0,Planned,2.5
Tumbler Ridge e-methanol project (BC),Canada,CCU,2015.0,,2028.0,Planned,1.8
Twence Hengelo facility,Netherlands,CCU,2019.0,2021.0,2024.0,Under construction,1.8
UK Poseidon CCS project phase 1,United Kingdom,Storage,2023.0,2026.0,2029.0,Planned,
UK Poseidon CCS project phase 2,United Kingdom,Storage,2023.0,2026.0,2030.0,Planned,
UK Poseidon CCS project phase 2,United Kingdom,Storage,2023.0,2026.0,2040.0,Planned,
Umea Dava plant CCS,Sweden,Capture,2023.0,2024.0,2026.0,Planned,2.5
Unita Basin Carbon SAFE (UT),United States,Storage,2023.0,,,Planned,
Uthmaniyah CO2-EOR demonstration,Saudi Arabia,Full chain,2013.0,2013.0,2015.0,Operational,3.0
Valero Port Arthur Refinery (TX),United States,Full chain,2009.0,2011.0,2013.0,Operational,3.0
Vattenfall Jordbro CHP plant,Sweden,Capture,2023.0,,,Planned,2.5
Växjö Energi CHP CCS Sandviksverket,Sweden,Capture,2021.0,,2027.0,Planned,2.5
Velocys Bayou Fuels (MS),United States,Capture,2019.0,,2026.0,Planned,2.5
Venture Global CCS Cameron (LA),United States,T&S,2021.0,,,Planned,
Venture Global LNG Calcasieu Pass CCS (LA),United States,Capture,2021.0,,,Planned,2.5
Venture Global LNG CP2 liquefaction facility CCS (LA),United States,Capture,2021.0,,,Planned,2.5
Venture Global LNG Plaquemines CCS (LA),United States,Capture,2021.0,,,Planned,2.5
Veolia EfW to fuels,United Kingdom,CCU,2024.0,,2030.0,Planned,1.8
Vestforbrænding's Ejby incineration plant,Denmark,Capture,2019.0,,2026.0,Planned,2.5
Vicksburg Containerboard Mill (MS),United States,Capture,2024.0,,,Planned,2.5
Viking CCS Phase 1,United Kingdom,T&S,2020.0,2024.0,2027.0,Planned,
Viking CCS Phase 2,United Kingdom,T&S,2020.0,,2030.0,Planned,
Viking CCS Phase 3,United Kingdom,T&S,2020.0,,2035.0,Planned,
Virginia CarbonSafe storage (VA),United States,Storage,2023.0,,,Planned,
Virgo (LA),United States,Storage,2022.0,,2026.0,Planned,
Viridor Runcorn CCS project,United Kingdom,Capture,2021.0,2024.0,2025.0,Planned,2.5
VISION 2025,Greece,Capture,2021.0,,2030.0,Planned,2.5
Voestalpine hot briquetted iron plant Portland (TX),United States,Capture,2022.0,,,Planned,2.5
VPI Immingham CHP plant CCS,United Kingdom,Capture,2019.0,,2027.0,Planned,2.5
Wabash Valley Resources/Wabash CarbonSAFE (IN),United States,Full chain,2016.0,,2024.0,Planned,3.0
WAH2 Blue  Ammonia Project - phase 1,Australia,Capture,2022.0,2024.0,2028.0,Planned,2.5
WAH2 Blue  Ammonia Project - phase 2,Australia,Capture,2022.0,,,Planned,2.5
Waste to energy CCU to TES Wilhemshaven (unknown facility),Germany,CCU,2023.0,,,Planned,1.8
Waste to hydrogen Boson Energy (BEH2X LAVNT),Latvia,CCU,2022.0,,2024.0,Planned,1.8
Waste-to-energy Aker CC (unknown facility),France,Capture,2023.0,,,Planned,2.5
West bay storage Galveston (TX),United States,Storage,2023.0,,,Planned,
West Java sea rig-to-CCS JSA,Indonesia,Storage,2024.0,,,Planned,
Weyburn-Midale storage,Canada,Storage,,,2020.0,Operational,
WH2V therminal (Wilhelshaven green energy hub phase 1),"Belgium, Germany, Netherlands, Switzerland, USA",Transport,2022.0,,2029.0,Planned,
Whiting Refinery,United States,Capture,2023.0,,,Planned,2.5
Wilhelmshaven Energy Hub BlueHyNow,Germany,Capture,2022.0,,2026.0,Planned,2.5
William Echo Springs CarbonSAFE (WY),United States,Storage,2023.0,,,Planned,
Wintershall Dea Luna storage,Norway,Storage,2022.0,2025.0,2030.0,Planned,
Wintershall Dea-Equinor Gernany-Norway pipeline phase 1,Germany-Norway,Transport,2022.0,,2032.0,Planned,
Wintershall Dea-Equinor Gernany-Norway pipeline phase 2,Germany-Norway,Transport,2022.0,,2037.0,Planned,
Woodside Browse CCS Assessment,Australia,Full chain,2022.0,,,Planned,3.0
Yamal LNG,Russia,Full chain,,,,Planned,3.0
Yanchang integrated CCUS Yulin Coal Chemical (Shaanxi) phase 1,People's Republic of China,Full chain,2015.0,,2022.0,Operational,3.0
Yanchang integrated CCUS Yulin Coal Chemical (Shaanxi) phase 2,People's Republic of China,Full chain,2022.0,,,Planned,3.0
Yanchang integrated CCUS Yulin Coal Chemical (Shaanxi) phase 3,People's Republic of China,Full chain,2022.0,,,Planned,3.0
Yara Pilbara ammonia,Australia,Capture,2021.0,,,Planned,2.5
Yara Sluiskil fertiliser,Netherlands,Capture,2022.0,2023.0,2026.0,Under construction,2.5
Yara-BASF Gulf Coast,United States,Capture,2023.0,,2028.0,Planned,2.5
ZerCal250,United Kingdom,Capture,2021.0,,,Planned,2.5
Zutica and Ivanic grad EOR extension,Croatia,Storage,,,,Planned,
